"HBCx14_AC1","HBCx14_chemonaive1","HBCx14_AC2","HBCx14_chemonaive2","HBCx14_AC3","HBCx14_AC4","HBCx14_chemonaive3","HBCx14_AC5","Symbol"
313,856,455,899,448,631,1142,545,"AQR"
1,2,4,3,1,5,4,9,"CPS1"
0,0,1,0,0,0,0,0,"C8B"
119,80,224,52,271,163,170,240,"FHL1"
1125,2597,1575,2428,1588,1897,3267,2151,"RTF2"
0,0,0,0,0,1,0,0,"GABRA1"
797,1502,808,1550,1005,1153,1899,1211,"NLRP2"
325,681,377,763,510,465,944,548,"SLC45A4"
2054,4453,2819,4591,3342,3338,5578,3758,"RNF10"
423,800,500,834,661,649,898,660,"ZNF839"
422,1175,549,1210,624,753,1349,810,"ZDHHC6"
56,115,102,97,196,233,103,162,"GRAMD1B"
1198,2712,1456,2627,1832,1953,3392,2275,"RNH1"
1645,4049,2357,4366,2865,2711,5611,3037,"NDUFS1"
511,1377,743,1771,943,1064,2115,1030,"RB1CC1"
1698,2616,2209,3369,2614,3114,3829,3427,"ERP44"
885,1927,1189,1718,1389,1505,2250,1669,"ALAS1"
659,1273,1281,1444,1610,2123,1612,1855,"BIRC3"
398,1152,595,1257,643,727,1361,822,"AKAP11"
301,617,440,648,415,508,868,572,"GLRX2"
97,241,131,226,131,165,277,173,"SNAPC1"
1072,2571,1196,2753,1330,1513,3342,1559,"DERA"
3750,8172,4490,8849,5332,6358,11624,7229,"STRAP"
4,21,9,12,2,10,15,7,"ABCC2"
404,748,542,815,572,632,1026,733,"DEF6"
583,1166,765,1336,1011,1159,1715,1244,"PLEKHO1"
508,1102,627,1292,770,934,1760,851,"GCLM"
535,1470,787,1833,946,1110,2046,1087,"UBR2"
323,686,402,641,542,595,773,693,"EHD2"
1034,1966,1272,1908,1548,1742,2947,1878,"DEPDC1"
213,624,311,619,309,338,760,350,"CCDC28A"
411,1251,520,1165,454,472,1166,594,"RRAGD"
399,1105,513,1093,582,664,1378,659,"HSF2"
721,2239,1070,2148,1399,1541,2815,1402,"PHF20"
75,167,110,154,138,115,220,166,"HSD17B6"
233,365,269,311,258,317,453,332,"NR1H3"
1092,1639,1708,1379,1870,2754,1559,2619,"TYMP"
1038,2039,1132,1923,1410,1495,2755,1734,"NCAPH2"
1392,2645,1714,2705,2140,2454,3760,2900,"TOMM34"
1708,3844,2120,4041,2721,3166,4715,3198,"SEC63"
1653,4129,2125,4506,2609,3089,5556,3326,"KPNA6"
18607,87826,22129,75969,28776,30826,90472,34108,"VIM"
185,332,167,236,165,196,336,190,"RTEL1-TNFRSF6B"
229,346,281,376,283,384,453,361,"FAS"
939,1767,1278,2008,1246,1299,2480,1565,"RNASET2"
5244,9217,6081,12605,9417,10703,13696,11265,"CD44"
654,1018,769,939,935,1059,1414,1372,"KCNG1"
558,1986,717,2513,877,1001,2548,883,"AGPAT4"
2,2,3,0,5,2,2,12,"SLAMF7"
490,1065,758,1198,916,1061,1249,1003,"BTN3A1"
199,471,233,459,242,294,586,303,"MIPEP"
272,561,305,635,432,500,671,526,"PRKCH"
1,1,2,0,6,2,1,2,"INSRR"
1833,2626,2568,2851,2624,3101,3263,3326,"IFNGR1"
509,962,558,958,704,720,1198,829,"B4GALT7"
156,220,172,217,213,218,251,302,"SH2D2A"
521,1336,604,1301,761,898,1410,905,"VRK2"
64,26,76,38,117,108,27,131,"TNFRSF1B"
713,2078,998,2256,1085,1390,2610,1325,"VEZT"
285,258,495,244,640,766,284,616,"POU2F2"
1064,2412,1386,2674,1925,2216,2826,2335,"BRD9"
1258,3350,1701,3387,2138,2458,3701,2539,"SNX1"
393,894,578,924,695,771,1334,799,"TBPL1"
406,1819,562,2171,851,1080,2620,1001,"ARNTL2"
2659,6077,3819,7197,4300,5465,8440,5354,"BCLAF1"
901,2572,1035,2617,1438,1690,3224,1656,"SLC39A9"
3,6,10,5,11,10,9,11,"ANK1"
0,0,0,0,0,0,0,0,"IBSP"
261,522,319,647,387,413,889,455,"TFB1M"
761,1906,974,2126,1260,1367,2525,1389,"RABEP1"
3428,7919,3898,7830,4811,5303,10422,6307,"HMGB3"
1413,4148,2036,4425,2499,3147,5836,3060,"NUP160"
402,719,505,785,594,706,1125,774,"BAK1"
0,0,0,0,0,0,0,0,"MUSK"
345,919,472,936,367,436,1151,385,"IKZF2"
3409,6628,4187,5983,4616,4894,6567,5484,"GRN"
443,1266,546,1479,806,970,1539,884,"FAM13B"
213,386,265,527,438,532,476,511,"ARHGAP31"
124,277,173,270,197,221,327,235,"CENPQ"
1895,3111,1996,3676,2700,3061,4539,3045,"SARS1"
1433,2992,1570,2967,1831,2249,3914,2394,"RANBP3"
248,465,317,635,326,414,721,370,"ARID4A"
425,988,591,1018,600,727,1274,833,"EIPR1"
1224,3263,1567,3618,1822,2080,4701,2282,"PNPLA6"
132,434,195,410,215,288,520,240,"IFT88"
348,769,502,702,500,626,1029,642,"ALG1"
515,978,733,1160,768,873,1378,951,"ZCCHC8"
325,651,414,611,560,557,882,725,"ABCF2"
935,1696,1171,1766,1550,1604,2146,1881,"CHPF2"
0,2,0,0,0,0,2,1,"LRRC7"
133,279,186,242,253,225,328,263,"FUT8"
766,2223,1108,2639,1429,1818,2876,1589,"UBA6"
481,1097,493,1117,638,650,1325,772,"GAB2"
