"HBCx14_Carboplatin1","HBCx14_chemonaive1","HBCx14_chemonaive2","HBCx14_Carboplatin2","HBCx14_Carboplatin3","HBCx14_Carboplatin4","HBCx14_Carboplatin5","HBCx14_chemonaive3","Symbol"
8984,15938,16348,8374,12520,11727,11646,22068,"PTBP1"
96,73,78,76,104,105,129,192,"DPF1"
3629,6473,5910,3458,5011,4678,4532,6560,"SYT7"
657,1154,1091,612,921,902,833,1531,"LARS2"
1165,2389,2460,1029,1451,1523,1315,3036,"PIK3C2A"
511,558,584,305,620,489,408,564,"PLAUR"
2232,3181,3043,1834,3254,2882,2681,4353,"ANLN"
5609,7720,7499,4974,8172,6934,6657,9496,"WIZ"
1857,3338,3353,1789,2521,2454,2150,4320,"RABGAP1"
4,1,1,11,2,5,11,1,"DCN"
191,397,402,156,255,257,291,540,"QPCTL"
1279,1969,2088,1207,1731,1591,1719,2885,"PPP5C"
341,532,495,257,376,407,311,606,"CEP68"
1216,2251,2442,1124,1556,1537,1340,2708,"MAP4K3"
8,0,1,2,15,12,11,0,"ZBTB32"
3,0,0,0,0,0,0,0,"TYROBP"
1046,1453,1499,1095,1421,1370,1364,1990,"TMEM159"
305,586,590,244,335,330,352,614,"GABRA3"
638,639,716,441,761,760,631,845,"BRCA1"
820,1339,1218,713,950,971,1094,1497,"ERCC1"
0,0,0,0,0,0,0,0,"CD22"
306,818,427,210,301,356,364,499,"SEMA3B"
275,470,453,239,327,294,263,562,"MBTPS2"
420,470,563,279,562,441,416,683,"PRICKLE3"
2600,1011,192,626,3779,988,576,121,"LTF"
2051,4040,3990,1900,2993,2764,2474,4764,"EXTL3"
0,0,0,0,0,0,0,0,"NR1H4"
2983,5302,6186,2254,3900,3271,3177,7636,"ELOVL5"
44,45,44,36,47,48,29,23,"ALOX5"
4,3,2,6,4,6,3,1,"KDM5D"
1186,1532,1622,898,1615,1214,1324,1838,"CALCOCO1"
143,320,308,143,219,205,181,425,"UBR7"
1172,2553,2509,1120,1632,1559,1358,3029,"MAP4K5"
137,91,159,74,177,144,117,158,"EHD3"
1228,1736,1817,1360,1813,1695,1650,2465,"PSMC4"
529,681,661,446,695,580,583,785,"MAN2B2"
0,0,0,0,0,0,0,0,"SLC7A14"
101,53,61,77,137,110,119,37,"CLDN11"
3861,5967,6261,3577,5321,4991,5409,8373,"SLC25A39"
1065,1344,1681,536,1523,1032,781,1598,"MVP"
1368,1728,1638,1120,1777,1561,1442,2042,"NUB1"
841,1474,1891,607,1227,942,821,1895,"PGM3"
37,103,121,34,63,50,70,119,"RWDD2A"
1301,2060,2252,1284,1520,1664,1525,2662,"CLK1"
310,663,695,283,383,409,329,778,"POLR3B"
697,912,1089,462,817,829,732,1212,"ANGEL1"
702,984,1137,581,999,899,787,1337,"RNF14"
1023,2283,1902,882,1325,1186,1208,2052,"DNASE1L1"
2882,2979,3123,2222,3683,3281,3434,4509,"DDX11"
1002,1685,1792,915,1342,1355,1353,2375,"HEBP1"
2290,10989,8702,1330,2954,1853,1940,6152,"GPRC5A"
695,1281,1545,445,846,765,699,1620,"MAMLD1"
220,323,344,180,250,260,250,315,"CD6"
1817,1835,1815,1719,2610,2492,2509,2406,"TACC3"
430,1160,1274,408,522,615,546,1310,"UFL1"
91,119,116,86,153,137,123,120,"POLA2"
425,535,593,416,550,509,493,705,"ZC3H3"
5578,11174,11095,5275,8083,7277,7066,13848,"CAPN1"
15,35,51,13,27,27,14,38,"ACP3"
2192,3508,3560,2433,3117,2975,2989,4646,"MDH1"
