"HBCx14_Cisplatin1","HBCx14_chemonaive1","HBCx14_Cisplatin2","HBCx14_chemonaive2","HBCx14_Cisplatin3","HBCx14_Cisplatin4","HBCx14_Cisplatin5","HBCx14_chemonaive3","Symbol"
1519,1728,1110,1638,1456,1728,1193,2042,"NUB1"
850,1474,677,1891,921,1108,857,1895,"PGM3"
63,103,57,121,57,58,42,119,"RWDD2A"
1535,2060,1339,2252,1548,1697,1414,2662,"CLK1"
381,663,290,695,312,439,341,778,"POLR3B"
728,912,552,1089,709,908,707,1212,"ANGEL1"
724,984,570,1137,758,909,778,1337,"RNF14"
1020,2283,1122,1902,1362,1398,934,2052,"DNASE1L1"
2412,2979,2141,3123,2790,3224,2630,4509,"DDX11"
974,1685,954,1792,1085,1386,1013,2375,"HEBP1"
3017,10989,2044,8702,2475,3527,3117,6152,"GPRC5A"
514,1281,520,1545,635,1052,774,1620,"MAMLD1"
174,323,171,344,184,238,224,315,"CD6"
1613,1835,1205,1815,1597,2090,1827,2406,"TACC3"
513,1160,336,1274,543,682,522,1310,"UFL1"
113,119,99,116,121,111,101,120,"POLA2"
457,535,379,593,479,522,457,705,"ZC3H3"
6134,11174,6103,11095,7289,8661,6574,13848,"CAPN1"
33,35,25,51,37,52,19,38,"ACP3"
2127,3508,1732,3560,2230,2590,2270,4646,"MDH1"
1137,2123,978,2219,1250,1582,1208,2854,"SLC30A9"
983,1442,640,1140,1081,1040,738,1443,"MTMR11"
233,458,204,343,277,286,190,431,"COX15"
2484,3531,1933,3779,2570,3003,2509,4858,"CCDC88C"
666,899,550,969,688,826,670,1264,"YAF2"
283,67,300,186,291,253,356,255,"ZMYND11"
33,35,25,18,32,42,43,38,"WAS"
4,0,0,1,1,0,1,1,"DPEP1"
1414,2148,1361,2142,1579,1905,1534,2796,"BID"
42,67,24,109,39,59,43,115,"MATR3"
11,20,5,17,14,23,16,19,"NPC1L1"
363,556,406,541,417,501,420,654,"XYLT2"
4,7,2,12,8,6,1,2,"RGPD5"
3,1,0,1,1,1,1,1,"STMN4"
1335,2246,1127,2241,1371,1740,1429,2768,"NUDCD3"
0,1,0,0,2,3,1,0,"ISL1"
1821,3121,1484,2623,1864,2118,1903,3668,"CHDH"
139,145,172,228,168,158,138,298,"IL20RA"
0,0,0,0,0,0,0,0,"CLCA1"
0,0,0,0,0,0,0,0,"CLCA4"
476,917,380,868,556,544,409,1103,"GLT8D1"
5480,7274,3835,8049,5458,6927,5617,8883,"ATP2C1"
21,9,63,11,35,36,76,16,"IGF1"
91,56,98,37,87,83,75,258,"SLC38A5"
1821,3214,1499,3641,1876,2619,1991,4575,"RALBP1"
930,1758,695,1917,968,1174,848,2057,"RUFY3"
2,1,5,1,2,3,1,0,"CNTN1"
6,6,4,7,4,7,4,7,"SLC11A1"
6633,9599,4048,10034,5645,7993,5853,11342,"WWTR1"
1159,2070,851,2475,1054,1580,1336,2901,"AGPS"
2,2,2,1,2,2,1,1,"ZNF806"
482,837,394,815,498,630,507,972,"CXorf56"
235,7,172,7,66,32,93,76,"ATP1A2"
508,854,388,1012,613,591,531,1264,"TTC27"
26,25,19,26,19,17,30,33,"ZNF582"
2,1,0,0,1,3,3,0,"VSIG2"
1391,1677,1125,1666,1268,1868,1242,1889,"PHLDB1"
650,728,442,651,685,661,574,778,"MARCO"
89,20,30,12,58,86,68,28,"CYP24A1"
444,780,360,806,543,565,483,933,"PRDM11"
13,1,7,5,3,3,6,1,"SYT13"
4,0,0,0,1,3,3,0,"SNAI2"
77,6,31,0,89,29,31,7,"CD74"
14,3,16,5,8,9,31,6,"HGF"
1225,2005,991,2140,1310,1716,1256,2636,"ZRANB1"
3135,2506,2309,2698,2931,3407,2571,3459,"NCDN"
173,231,103,225,128,217,145,384,"ADGRA2"
0,1,1,0,0,0,4,2,"CCT8L1P"
923,1438,843,1632,897,1198,1036,2031,"ZFP64"
237,374,227,416,240,319,236,557,"MNAT1"
568,816,462,1095,602,728,645,1106,"SAMD4A"
1653,2397,1156,2636,1551,1916,1589,3033,"RUNX3"
873,1907,649,1717,936,1150,905,2121,"MRE11"
788,1519,695,1357,1017,1251,810,1763,"PLEKHB1"
831,804,530,829,815,1019,728,889,"SERPINB1"
3,0,1,1,0,0,0,1,"CYP3A43"
10,18,11,15,14,21,14,17,"SLC7A9"
840,1474,579,1622,772,1089,859,1898,"SPAST"
1,1,0,0,1,0,1,0,"NRXN3"
1047,1826,1031,1861,1311,1524,1103,2395,"OSBPL5"
482,856,323,899,457,610,432,1142,"AQR"
4,2,2,3,2,3,3,4,"CPS1"
1,0,0,0,0,0,0,0,"C8B"
141,80,199,52,269,88,110,170,"FHL1"
1564,2597,1358,2428,1680,1950,1580,3267,"RTF2"
0,0,0,0,0,0,0,0,"GABRA1"
944,1502,756,1550,937,1180,910,1899,"NLRP2"
470,681,332,763,428,576,451,944,"SLC45A4"
2728,4453,2556,4591,2915,3534,3087,5578,"RNF10"
548,800,450,834,606,679,596,898,"ZNF839"
671,1175,522,1210,755,781,644,1349,"ZDHHC6"
125,115,112,97,103,134,170,103,"GRAMD1B"
1676,2712,1587,2627,1965,2205,1799,3392,"RNH1"
2423,4049,1839,4366,2285,2658,2275,5611,"NDUFS1"
797,1377,563,1771,750,1007,909,2115,"RB1CC1"
2563,2616,1885,3369,2478,3399,2563,3829,"ERP44"
1229,1927,1139,1718,1481,1602,1336,2250,"ALAS1"
1948,1273,1522,1444,2683,1773,1795,1612,"BIRC3"
603,1152,435,1257,619,762,606,1361,"AKAP11"
398,617,354,648,440,516,378,868,"GLRX2"
117,241,116,226,157,183,116,277,"SNAPC1"
1175,2571,1090,2753,1475,1699,1313,3342,"DERA"
4868,8172,4278,8849,5443,6296,5658,11624,"STRAP"
1,21,7,12,5,7,9,15,"ABCC2"
536,748,521,815,528,615,519,1026,"DEF6"
797,1166,797,1336,842,1010,960,1715,"PLEKHO1"
705,1102,536,1292,722,917,892,1760,"GCLM"
938,1470,665,1833,984,1089,939,2046,"UBR2"
436,686,337,641,424,755,443,773,"EHD2"
1269,1966,884,1908,1191,1791,1691,2947,"DEPDC1"
345,624,274,619,329,350,315,760,"CCDC28A"
488,1251,435,1165,477,660,397,1166,"RRAGD"
584,1105,439,1093,586,722,584,1378,"HSF2"
1237,2239,863,2148,1124,1596,1196,2815,"PHF20"
97,167,99,154,116,156,109,220,"HSD17B6"
305,365,262,311,327,337,263,453,"NR1H3"
2815,1639,1955,1379,3307,2418,2035,1559,"TYMP"
1206,2039,1268,1923,1474,1559,1319,2755,"NCAPH2"
1711,2645,1582,2705,1771,2171,1981,3760,"TOMM34"
2497,3844,1937,4041,2565,3043,2490,4715,"SEC63"
2565,4129,2177,4506,2685,3306,2881,5556,"KPNA6"
23658,87826,21416,75969,28428,38898,30858,90472,"VIM"
154,332,190,236,216,166,147,336,"RTEL1-TNFRSF6B"
342,346,289,376,499,351,355,453,"FAS"
1216,1767,1111,2008,1350,1450,1114,2480,"RNASET2"
8315,9217,6757,12605,7659,11454,9753,13696,"CD44"
900,1018,689,939,787,992,782,1414,"KCNG1"
841,1986,620,2513,846,1055,832,2548,"AGPAT4"
13,2,13,0,9,11,5,2,"SLAMF7"
1158,1065,673,1198,1217,1124,884,1249,"BTN3A1"
229,471,210,459,325,288,251,586,"MIPEP"
362,561,326,635,387,536,389,671,"PRKCH"
2,1,1,0,2,6,2,1,"INSRR"
2645,2626,2500,2851,3916,2966,2483,3263,"IFNGR1"
679,962,622,958,782,756,662,1198,"B4GALT7"
200,220,146,217,184,257,198,251,"SH2D2A"
734,1336,560,1301,768,879,710,1410,"VRK2"
101,26,66,38,100,98,98,27,"TNFRSF1B"
1097,2078,877,2256,1273,1559,1310,2610,"VEZT"
426,258,460,244,646,453,519,284,"POU2F2"
1685,2412,1374,2674,1654,1940,1632,2826,"BRD9"
1889,3350,1588,3387,2000,2348,1933,3701,"SNX1"
645,894,477,924,689,793,685,1334,"TBPL1"
728,1819,583,2171,860,1050,1012,2620,"ARNTL2"
4069,6077,2898,7197,3850,4774,4219,8440,"BCLAF1"
1383,2572,1116,2617,1412,2032,1367,3224,"SLC39A9"
8,6,9,5,5,0,4,9,"ANK1"
0,0,0,0,0,0,0,0,"IBSP"
315,522,259,647,410,380,346,889,"TFB1M"
999,1906,728,2126,1029,1404,1209,2525,"RABEP1"
3959,7919,3618,7830,4295,5250,5221,10422,"HMGB3"
2572,4148,1791,4425,2389,3043,2659,5836,"NUP160"
599,719,524,785,656,723,618,1125,"BAK1"
0,0,0,0,0,0,2,0,"MUSK"
391,919,251,936,422,613,332,1151,"IKZF2"
4947,6628,4750,5983,5888,6110,4300,6567,"GRN"
708,1266,472,1479,739,831,714,1539,"FAM13B"
409,386,309,527,434,453,413,476,"ARHGAP31"
185,277,137,270,219,257,183,327,"CENPQ"
2235,3111,1798,3676,2426,3154,2584,4539,"SARS1"
1819,2992,1744,2967,2142,2353,1922,3914,"RANBP3"
327,465,234,635,339,357,319,721,"ARID4A"
572,988,554,1018,666,731,650,1274,"EIPR1"
1876,3263,1665,3618,2028,2668,2010,4701,"PNPLA6"
164,434,145,410,185,270,206,520,"IFT88"
556,769,488,702,631,658,522,1029,"ALG1"
775,978,628,1160,767,954,697,1378,"ZCCHC8"
462,651,432,611,513,594,494,882,"ABCF2"
1428,1696,1436,1766,1690,1734,1223,2146,"CHPF2"
