"HBCx14_AC1","HBCx14_AC2","HBCx14_AC3","HBCx14_AC4","HBCx14_AC5","Symbol"
375,442,523,681,565,"UFL1"
75,80,117,117,150,"POLA2"
336,389,502,497,611,"ZC3H3"
4989,5806,6457,7184,7534,"CAPN1"
26,14,30,37,21,"ACP3"
1664,2281,2613,2480,3044,"MDH1"
980,1149,1304,1445,1553,"SLC30A9"
535,699,735,855,819,"MTMR11"
165,208,243,251,236,"COX15"
1482,1852,2561,3009,2914,"CCDC88C"
476,568,672,803,876,"YAF2"
156,301,387,419,383,"ZMYND11"
29,37,40,41,45,"WAS"
0,3,1,1,0,"DPEP1"
1091,1315,1593,1857,2052,"BID"
33,56,47,66,37,"MATR3"
3,9,16,17,10,"NPC1L1"
290,370,477,520,517,"XYLT2"
4,7,0,1,1,"RGPD5"
1,2,3,3,1,"STMN4"
904,1192,1465,1618,1683,"NUDCD3"
0,2,1,0,4,"ISL1"
1075,1361,1892,1952,2010,"CHDH"
130,176,165,222,217,"IL20RA"
0,0,1,0,0,"CLCA1"
1,0,0,2,0,"CLCA4"
290,377,424,478,480,"GLT8D1"
3169,4214,5666,6665,6342,"ATP2C1"
28,40,59,70,35,"IGF1"
45,67,94,88,108,"SLC38A5"
1249,1614,1930,2231,2313,"RALBP1"
611,820,874,1163,1090,"RUFY3"
0,5,2,1,2,"CNTN1"
5,1,1,5,3,"SLC11A1"
3628,5203,6867,7841,8729,"WWTR1"
776,1068,1333,1546,1551,"AGPS"
0,3,1,2,2,"ZNF806"
400,460,564,541,697,"CXorf56"
51,290,534,88,397,"ATP1A2"
364,417,532,717,742,"TTC27"
11,23,26,24,29,"ZNF582"
0,2,0,0,0,"VSIG2"
915,1097,1616,1629,1665,"PHLDB1"
357,516,639,743,841,"MARCO"
20,28,50,165,179,"CYP24A1"
310,453,463,619,570,"PRDM11"
3,17,7,3,11,"SYT13"
0,1,7,2,4,"SNAI2"
18,36,25,56,40,"CD74"
5,11,20,32,30,"HGF"
898,1231,1273,1476,1549,"ZRANB1"
1938,2457,2900,3119,3668,"NCDN"
114,129,167,141,191,"ADGRA2"
0,1,3,2,0,"CCT8L1P"
645,753,988,1114,1210,"ZFP64"
197,231,201,310,375,"MNAT1"
306,493,589,648,695,"SAMD4A"
884,1090,1638,1734,2079,"RUNX3"
696,842,993,1187,1152,"MRE11"
759,853,957,908,1014,"PLEKHB1"
394,488,645,1119,1207,"SERPINB1"
0,0,0,0,1,"CYP3A43"
11,6,14,19,17,"SLC7A9"
508,745,879,1010,959,"SPAST"
0,2,1,0,1,"NRXN3"
970,1152,1267,1326,1391,"OSBPL5"
313,455,448,631,545,"AQR"
1,4,1,5,9,"CPS1"
0,1,0,0,0,"C8B"
119,224,271,163,240,"FHL1"
1125,1575,1588,1897,2151,"RTF2"
0,0,0,1,0,"GABRA1"
797,808,1005,1153,1211,"NLRP2"
325,377,510,465,548,"SLC45A4"
2054,2819,3342,3338,3758,"RNF10"
423,500,661,649,660,"ZNF839"
422,549,624,753,810,"ZDHHC6"
56,102,196,233,162,"GRAMD1B"
1198,1456,1832,1953,2275,"RNH1"
1645,2357,2865,2711,3037,"NDUFS1"
511,743,943,1064,1030,"RB1CC1"
1698,2209,2614,3114,3427,"ERP44"
885,1189,1389,1505,1669,"ALAS1"
659,1281,1610,2123,1855,"BIRC3"
398,595,643,727,822,"AKAP11"
301,440,415,508,572,"GLRX2"
97,131,131,165,173,"SNAPC1"
1072,1196,1330,1513,1559,"DERA"
3750,4490,5332,6358,7229,"STRAP"
4,9,2,10,7,"ABCC2"
404,542,572,632,733,"DEF6"
583,765,1011,1159,1244,"PLEKHO1"
508,627,770,934,851,"GCLM"
535,787,946,1110,1087,"UBR2"
323,402,542,595,693,"EHD2"
1034,1272,1548,1742,1878,"DEPDC1"
213,311,309,338,350,"CCDC28A"
411,520,454,472,594,"RRAGD"
399,513,582,664,659,"HSF2"
721,1070,1399,1541,1402,"PHF20"
75,110,138,115,166,"HSD17B6"
233,269,258,317,332,"NR1H3"
1092,1708,1870,2754,2619,"TYMP"
1038,1132,1410,1495,1734,"NCAPH2"
1392,1714,2140,2454,2900,"TOMM34"
1708,2120,2721,3166,3198,"SEC63"
1653,2125,2609,3089,3326,"KPNA6"
18607,22129,28776,30826,34108,"VIM"
185,167,165,196,190,"RTEL1-TNFRSF6B"
229,281,283,384,361,"FAS"
939,1278,1246,1299,1565,"RNASET2"
5244,6081,9417,10703,11265,"CD44"
654,769,935,1059,1372,"KCNG1"
558,717,877,1001,883,"AGPAT4"
2,3,5,2,12,"SLAMF7"
490,758,916,1061,1003,"BTN3A1"
199,233,242,294,303,"MIPEP"
272,305,432,500,526,"PRKCH"
1,2,6,2,2,"INSRR"
1833,2568,2624,3101,3326,"IFNGR1"
509,558,704,720,829,"B4GALT7"
156,172,213,218,302,"SH2D2A"
521,604,761,898,905,"VRK2"
64,76,117,108,131,"TNFRSF1B"
713,998,1085,1390,1325,"VEZT"
285,495,640,766,616,"POU2F2"
1064,1386,1925,2216,2335,"BRD9"
1258,1701,2138,2458,2539,"SNX1"
393,578,695,771,799,"TBPL1"
406,562,851,1080,1001,"ARNTL2"
2659,3819,4300,5465,5354,"BCLAF1"
901,1035,1438,1690,1656,"SLC39A9"
3,10,11,10,11,"ANK1"
0,0,0,0,0,"IBSP"
261,319,387,413,455,"TFB1M"
761,974,1260,1367,1389,"RABEP1"
3428,3898,4811,5303,6307,"HMGB3"
1413,2036,2499,3147,3060,"NUP160"
402,505,594,706,774,"BAK1"
0,0,0,0,0,"MUSK"
345,472,367,436,385,"IKZF2"
3409,4187,4616,4894,5484,"GRN"
443,546,806,970,884,"FAM13B"
213,265,438,532,511,"ARHGAP31"
124,173,197,221,235,"CENPQ"
1895,1996,2700,3061,3045,"SARS1"
1433,1570,1831,2249,2394,"RANBP3"
248,317,326,414,370,"ARID4A"
425,591,600,727,833,"EIPR1"
1224,1567,1822,2080,2282,"PNPLA6"
132,195,215,288,240,"IFT88"
348,502,500,626,642,"ALG1"
515,733,768,873,951,"ZCCHC8"
325,414,560,557,725,"ABCF2"
935,1171,1550,1604,1881,"CHPF2"
0,0,0,0,1,"LRRC7"
133,186,253,225,263,"FUT8"
766,1108,1429,1818,1589,"UBA6"
481,493,638,650,772,"GAB2"
642,839,1113,1230,1236,"ATP6V0A1"
421,629,738,814,865,"PIAS1"
489,691,927,1093,1053,"SLC4A7"
299,397,471,576,576,"APBA2"
1272,1549,2010,2460,3114,"MAP2K3"
0,0,0,1,0,"EFCAB1"
18828,21834,25400,29895,32064,"TMSB10"
87,106,113,131,121,"ASTE1"
1359,1846,2268,2821,2776,"RNF19A"
458,679,728,841,887,"PEX3"
540,681,857,843,935,"GABARAPL2"
0,0,0,1,0,"MYOC"
1591,1944,1990,2283,2437,"SH3YL1"
1135,1312,1475,1751,1943,"FAM136A"
3722,4929,7162,8516,7990,"VCL"
0,0,0,0,1,"DEPDC1B"
329,342,374,432,412,"DAPK2"
361,422,578,707,726,"NSMAF"
1743,2031,2508,3042,3172,"ADSS2"
2,6,3,9,3,"STAP1"
1299,1551,2395,2047,2399,"TIMP2"
898,1163,1384,1544,1427,"RFC1"
678,944,1100,1174,1257,"TBC1D23"
1168,1723,2211,2211,2368,"CUL3"
22,23,22,26,21,"MYOM2"
0,0,1,0,0,"OTC"
27,30,15,18,15,"CYP46A1"
823,1112,1351,1693,1543,"AC118549.1"
1,0,1,1,0,"SLC18A1"
270,268,490,426,550,"USP2"
0,0,0,0,0,"CASR"
190,270,285,307,317,"TUBG2"
369,420,479,547,642,"RPL26L1"
34,31,78,48,55,"FLT4"
2776,3388,4344,5218,5724,"NSUN2"
368,507,570,634,711,"FBXO42"
166,331,409,438,418,"MFAP3"
677,743,823,888,996,"MRI1"
192,222,267,295,394,"METTL1"
161,163,258,313,199,"HOXC8"
114,134,148,158,167,"AGA"
329,459,510,554,572,"PI4K2B"
217,322,340,448,404,"BOD1L1"
303,450,486,638,620,"MAT2B"
1,1,1,1,1,"TLL1"
1666,2172,2600,2791,3093,"EDC4"
3248,4350,6456,7997,7430,"TRIO"
271,377,647,461,625,"VCAN"
518,727,944,1159,1182,"CLEC16A"
1,0,0,5,4,"MSR1"
6435,8300,11605,12705,12844,"CDH1"
516,710,793,988,917,"MTREX"
177,225,291,371,292,"DNAH5"
378,531,658,818,701,"ZFYVE16"
1729,2043,2716,2713,3063,"RIPOR1"
0,0,0,0,0,"C6"
645,854,955,1516,1260,"RAI14"
10,4,26,17,17,"SOX30"
904,958,1008,1173,1273,"PNKP"
1,1,3,0,5,"BEST2"
227,295,311,396,428,"PHLPP2"
509,566,723,891,854,"SPDL1"
234,354,366,419,401,"STAU2"
209,234,241,272,359,"SLC66A1"
216,266,287,344,348,"CTNS"
198,207,264,284,335,"RTN4R"
644,909,1031,1107,1187,"PHF23"
0,0,0,1,0,"CDH10"
504,682,903,998,1018,"INPP4A"
203,303,322,465,377,"RAB27B"
1267,1561,1767,2307,2267,"PSMA4"
48,71,88,80,97,"MYO16"
3419,4475,5578,6466,6982,"LSG1"
218,266,296,307,363,"PARP3"
1972,2520,7644,8178,6570,"TNC"
178,248,244,310,317,"THAP3"
46,79,67,88,81,"RIPOR3"
464,579,625,659,776,"TDP1"
429,561,702,713,749,"AIFM2"
0,0,0,1,1,"C2orf83"
68,94,111,136,138,"SPATA7"
132,172,203,232,250,"MED17"
946,1132,1365,1365,1433,"RETSAT"
2963,3381,4420,4545,5168,"CAPG"
779,945,990,1214,1416,"AP2S1"
0,1,1,1,0,"USH2A"
1,2,2,3,0,"ZPBP"
4,3,3,8,3,"TG"
17,13,15,19,22,"ADAM28"
1140,1415,1398,1320,1619,"BARX2"
1013,1412,1773,1926,1956,"DCUN1D1"
359,458,559,614,680,"JADE2"
2,5,4,4,3,"ZIC2"
2,6,15,18,13,"LCP2"
592,814,830,1060,1075,"TRIT1"
15,64,77,32,73,"ADRB1"
0,0,0,0,0,"GUCA2B"
725,1076,1133,1186,1336,"CUL7"
5477,6885,8510,9947,10809,"CTNNA1"
425,625,609,729,788,"PHKA2"
186,254,214,305,301,"CNTLN"
4,8,12,12,7,"EPHA3"
7719,9576,21164,28886,26359,"HSPA5"
2609,3958,4942,5809,5013,"DSG2"
85,98,95,118,156,"GEMIN8"
583,799,845,929,982,"OFD1"
467,533,660,849,795,"GPM6B"
0,0,0,0,0,"MAGEC2"
1,0,0,2,2,"PREX2"
149,221,255,267,296,"WDR37"
486,621,757,991,908,"YTHDC2"
481,652,695,767,848,"CTPS2"
404,510,618,603,734,"ATP6V1H"
977,1396,1446,1737,1873,"POLR2B"
365,486,538,532,509,"FAM214A"
97,152,176,223,227,"ARAP2"
2948,4033,4815,5584,5245,"TPR"
221,427,372,888,547,"CP"
436,590,720,776,790,"KIAA0556"
207,264,334,419,396,"DTNBP1"
226,233,357,381,373,"XK"
24,34,44,42,51,"ANO2"
861,1121,1274,1572,1550,"C12orf4"
9,19,28,47,47,"SCML1"
898,1308,1727,1947,1941,"WWC3"
7,10,9,5,13,"ARHGAP6"
11,29,25,26,38,"FAM184B"
5817,7325,9372,10847,11036,"MAP4"
490,645,788,978,981,"GOPC"
0,1,0,1,0,"ROS1"
606,896,1146,1250,1241,"USP28"
263,361,472,453,509,"HDAC9"
1735,2016,2287,2461,2791,"TSPAN17"
836,961,1190,1439,1648,"NOP16"
141,241,224,266,290,"CC2D2A"
260,389,425,503,453,"RRM2B"
392,526,704,832,771,"ZNF800"
0,0,0,2,0,"TNFRSF17"
191,353,409,448,416,"SNX29"
11,16,15,10,12,"LMO3"
671,797,888,949,1056,"MRPS10"
0,0,0,0,0,"GUCA1A"
570,817,942,1071,1077,"RSF1"
535,684,869,974,901,"VPS13D"
1139,1801,2462,2515,2296,"CELF2"
5345,7719,10093,11434,11669,"FAM120A"
1068,1345,1678,2034,1980,"R3HDM1"
2009,2485,3120,2972,3163,"COL9A2"
81,108,151,198,182,"KITLG"
70,84,92,98,140,"ERCC8"
13,32,60,94,39,"ADAMTS6"
799,1095,1285,1649,1599,"H6PD"
1513,1967,1984,2330,2490,"VAMP3"
133,216,272,331,293,"PER3"
0,1,0,0,1,"UTS2"
13,21,41,19,31,"TNFRSF9"
361,349,478,468,562,"EPN3"
1664,2209,2820,2934,2908,"LTBP1"
1370,1747,2129,2541,2687,"RCN1"
105,134,229,107,190,"ELN"
995,1241,1473,1586,1801,"RFC2"
3284,4741,5977,6896,6293,"ARID1B"
1989,2401,3074,3330,3773,"CLPTM1L"
1094,1410,1841,1925,2017,"NEDD4L"
7,14,17,16,30,"FOXP3"
128,203,201,241,293,"PPP1R3F"
960,1174,1300,1538,1526,"HEXB"
145,229,210,291,262,"PTCD2"
74,111,92,145,106,"NEXMIF"
436,486,574,667,780,"JKAMP"
29,27,51,36,43,"DKK3"
453,589,693,736,782,"ARHGEF5"
711,996,1269,1429,1504,"NFE2L3"
726,841,966,1191,1168,"MCUR1"
290,380,489,479,473,"LIMA1"
698,993,1106,1194,1279,"LETMD1"
8,11,11,14,14,"SLC4A8"
202,233,328,325,386,"LAMC3"
3,5,8,6,6,"PTGER3"
6,7,7,21,17,"TNIP3"
904,1038,1149,1248,1380,"MAPK9"
0,1,7,2,4,"COL23A1"
340,500,596,560,718,"BCAR1"
692,990,1026,1126,1219,"FAM160A2"
1205,1472,1631,1683,1971,"HERPUD1"
714,886,1194,1342,1416,"HOMER3"
277,341,415,470,523,"RAD51"
307,360,502,571,604,"POLQ"
529,734,970,1127,1070,"PIK3CB"
2031,2493,2836,3192,3380,"CYBA"
218,258,322,352,425,"THOC3"
4026,5017,5499,6439,6251,"HEBP2"
166,223,344,382,330,"MPHOSPH9"
690,913,985,1159,1042,"PLEKHA5"
1387,1580,1656,1756,1918,"PRSS8"
895,1150,1326,1657,1567,"SIKE1"
546,649,850,958,1092,"RRP12"
159,212,252,332,275,"FNIP2"
128,180,196,248,229,"MSMO1"
1232,1691,1728,2130,1974,"TTC17"
7,18,15,17,32,"ALX4"
0,1,0,0,0,"FSTL4"
