"HBCx14_Carboplatin1","HBCx14_Carboplatin2","HBCx14_Carboplatin3","HBCx14_Carboplatin4","HBCx14_Carboplatin5","Symbol"
202,351,289,380,309,"ZMYND11"
52,30,59,62,62,"WAS"
1,0,1,2,2,"DPEP1"
1470,1373,2152,1838,1821,"BID"
32,20,44,22,28,"MATR3"
17,9,20,10,14,"NPC1L1"
392,337,520,457,431,"XYLT2"
1,3,5,2,3,"RGPD5"
1,0,2,0,0,"STMN4"
1330,1093,1832,1587,1556,"NUDCD3"
1,0,0,4,1,"ISL1"
1822,1559,2575,2078,2153,"CHDH"
157,146,160,191,201,"IL20RA"
0,0,0,0,0,"CLCA1"
0,1,0,0,2,"CLCA4"
408,283,529,398,449,"GLT8D1"
5385,3651,7293,5977,5051,"ATP2C1"
25,47,42,86,62,"IGF1"
78,65,100,70,71,"SLC38A5"
1784,1608,2570,2339,2062,"RALBP1"
826,671,1069,930,914,"RUFY3"
2,1,6,2,1,"CNTN1"
7,3,10,2,3,"SLC11A1"
6355,4409,8669,6440,5516,"WWTR1"
1309,949,1641,1527,1358,"AGPS"
4,1,1,0,1,"ZNF806"
508,538,639,636,662,"CXorf56"
75,484,49,102,117,"ATP1A2"
502,398,616,666,548,"TTC27"
22,8,28,24,27,"ZNF582"
1,0,0,4,0,"VSIG2"
1562,1108,1884,1667,1697,"PHLDB1"
547,434,795,678,636,"MARCO"
47,4,47,23,20,"CYP24A1"
447,441,584,574,556,"PRDM11"
1,2,1,3,6,"SYT13"
5,4,4,4,9,"SNAI2"
35,15,33,26,27,"CD74"
16,16,13,15,16,"HGF"
1142,1179,1475,1514,1366,"ZRANB1"
2496,2725,4017,3264,3341,"NCDN"
127,93,179,133,127,"ADGRA2"
0,0,0,2,0,"CCT8L1P"
913,769,1287,1076,996,"ZFP64"
253,257,302,321,360,"MNAT1"
523,312,577,582,381,"SAMD4A"
1527,1088,2271,1625,1514,"RUNX3"
1049,779,1062,1172,1176,"MRE11"
873,912,1157,1130,1258,"PLEKHB1"
767,407,1121,588,445,"SERPINB1"
0,0,1,0,0,"CYP3A43"
8,5,14,19,18,"SLC7A9"
794,728,1127,1020,986,"SPAST"
1,1,0,1,1,"NRXN3"
1104,1083,1507,1511,1628,"OSBPL5"
455,340,563,552,463,"AQR"
6,1,3,3,3,"CPS1"
0,0,0,0,0,"C8B"
91,295,110,152,868,"FHL1"
1643,1566,2076,1939,1914,"RTF2"
0,0,1,0,0,"GABRA1"
949,847,1340,1223,1219,"NLRP2"
462,348,600,500,532,"SLC45A4"
2699,2833,3754,3485,3598,"RNF10"
614,512,704,717,638,"ZNF839"
640,508,805,707,743,"ZDHHC6"
95,130,119,139,134,"GRAMD1B"
1655,1463,2406,2117,2069,"RNH1"
2119,2738,2957,3122,2689,"NDUFS1"
870,665,1127,958,895,"RB1CC1"
2399,1994,3191,2581,2673,"ERP44"
1282,1198,1687,1800,1631,"ALAS1"
1475,864,2260,1893,890,"BIRC3"
567,447,695,630,569,"AKAP11"
361,399,517,547,488,"GLRX2"
140,154,173,166,162,"SNAPC1"
1316,1084,1553,1705,1572,"DERA"
5051,4760,6480,6742,6253,"STRAP"
6,3,7,8,5,"ABCC2"
503,479,697,703,748,"DEF6"
843,799,1293,1173,1243,"PLEKHO1"
638,640,808,902,902,"GCLM"
871,599,1093,980,863,"UBR2"
511,378,765,516,512,"EHD2"
1411,1447,2181,2115,1819,"DEPDC1"
293,292,383,362,417,"CCDC28A"
411,416,577,539,601,"RRAGD"
513,531,687,700,733,"HSF2"
1275,865,1349,1413,1176,"PHF20"
125,95,150,128,145,"HSD17B6"
305,237,393,411,409,"NR1H3"
1746,1204,2339,1882,1386,"TYMP"
1250,1295,1743,1604,1761,"NCAPH2"
1919,1990,2623,2636,2590,"TOMM34"
2337,2100,3088,2816,2729,"SEC63"
2506,2154,3264,3050,2917,"KPNA6"
25353,20781,35691,33795,31384,"VIM"
159,158,195,176,229,"RTEL1-TNFRSF6B"
264,284,301,461,358,"FAS"
1111,1073,1467,1364,1609,"RNASET2"
7269,6207,10941,8034,8296,"CD44"
787,784,1166,969,904,"KCNG1"
836,600,878,922,867,"AGPAT4"
6,2,2,10,4,"SLAMF7"
989,492,1178,897,681,"BTN3A1"
245,214,286,317,305,"MIPEP"
384,369,534,510,410,"PRKCH"
4,1,1,1,5,"INSRR"
2603,2062,3774,3547,2730,"IFNGR1"
608,581,811,753,861,"B4GALT7"
217,135,301,263,223,"SH2D2A"
694,565,926,916,733,"VRK2"
79,82,122,98,108,"TNFRSF1B"
1186,981,1392,1411,1270,"VEZT"
414,428,562,527,509,"POU2F2"
1920,1364,2241,1901,1849,"BRD9"
1952,1695,2570,2280,2344,"SNX1"
634,555,859,854,686,"TBPL1"
819,390,1039,906,606,"ARNTL2"
3882,3325,4607,4673,4377,"BCLAF1"
1459,972,1779,1563,1422,"SLC39A9"
5,8,7,4,3,"ANK1"
0,0,0,0,0,"IBSP"
324,277,403,442,410,"TFB1M"
1098,943,1361,1240,1309,"RABEP1"
4576,4798,6568,6565,6170,"HMGB3"
2438,2064,3207,2953,2359,"NUP160"
533,530,789,751,656,"BAK1"
0,0,0,0,0,"MUSK"
295,338,363,440,446,"IKZF2"
4613,3843,6337,5081,5393,"GRN"
687,613,964,921,791,"FAM13B"
383,241,603,394,325,"ARHGAP31"
203,205,284,231,280,"CENPQ"
2627,2274,3014,3021,3174,"SARS1"
1776,1625,2414,2268,2334,"RANBP3"
305,318,375,400,340,"ARID4A"
625,572,865,878,900,"EIPR1"
1679,1226,2578,1921,1879,"PNPLA6"
187,159,223,257,247,"IFT88"
507,446,638,610,601,"ALG1"
692,691,922,857,913,"ZCCHC8"
551,429,681,611,645,"ABCF2"
1335,1165,1965,1536,1484,"CHPF2"
0,0,0,0,0,"LRRC7"
203,160,254,236,226,"FUT8"
1331,902,1593,1586,1249,"UBA6"
538,590,706,730,734,"GAB2"
960,819,1161,1066,1053,"ATP6V0A1"
685,645,919,824,807,"PIAS1"
773,620,1042,959,823,"SLC4A7"
423,395,617,556,508,"APBA2"
1834,1513,2626,2241,1944,"MAP2K3"
0,0,0,0,0,"EFCAB1"
21473,20694,29952,29408,31136,"TMSB10"
114,98,121,126,119,"ASTE1"
2278,1778,3384,3079,2212,"RNF19A"
676,762,832,962,895,"PEX3"
708,707,1022,846,910,"GABARAPL2"
0,0,0,0,0,"MYOC"
2155,1795,2600,2356,2551,"SH3YL1"
1482,1310,1920,1927,1797,"FAM136A"
6412,4488,8065,7393,5885,"VCL"
0,0,0,0,0,"DEPDC1B"
398,353,484,424,473,"DAPK2"
566,438,716,683,605,"NSMAF"
2632,2196,3409,3200,2873,"ADSS2"
2,9,7,3,4,"STAP1"
1873,1565,2560,2021,1992,"TIMP2"
1337,1218,1639,1688,1471,"RFC1"
953,810,1332,1297,1085,"TBC1D23"
1627,1945,2089,2203,2141,"CUL3"
18,17,29,18,31,"MYOM2"
0,0,0,0,0,"OTC"
25,25,22,27,41,"CYP46A1"
1226,1049,1575,1488,1305,"AC118549.1"
0,0,0,0,0,"SLC18A1"
378,320,526,435,455,"USP2"
0,0,1,0,0,"CASR"
252,240,379,262,290,"TUBG2"
428,423,652,583,627,"RPL26L1"
54,43,44,45,46,"FLT4"
4171,3594,5517,4909,4453,"NSUN2"
541,481,831,664,666,"FBXO42"
343,238,418,370,289,"MFAP3"
808,759,1036,957,1085,"MRI1"
236,248,324,270,267,"METTL1"
243,133,259,177,227,"HOXC8"
171,88,192,183,179,"AGA"
413,442,540,649,499,"PI4K2B"
339,288,419,418,353,"BOD1L1"
528,385,745,621,511,"MAT2B"
1,0,2,1,1,"TLL1"
2254,2184,3183,2991,2941,"EDC4"
5927,4013,7424,6172,5163,"TRIO"
418,425,754,567,534,"VCAN"
985,655,1255,1063,899,"CLEC16A"
0,3,2,0,2,"MSR1"
10958,8300,13011,12221,11044,"CDH1"
735,702,967,937,848,"MTREX"
293,165,287,324,258,"DNAH5"
571,494,759,698,608,"ZFYVE16"
2298,2062,3365,3059,2626,"RIPOR1"
0,0,0,0,1,"C6"
956,731,1233,1147,898,"RAI14"
21,19,32,18,12,"SOX30"
1003,938,1341,1236,1438,"PNKP"
1,0,6,2,2,"BEST2"
300,279,393,352,402,"PHLPP2"
649,682,908,986,915,"SPDL1"
329,291,387,377,337,"STAU2"
247,274,329,309,335,"SLC66A1"
307,238,379,319,355,"CTNS"
229,170,336,235,268,"RTN4R"
886,819,1211,1077,1184,"PHF23"
1,1,0,0,2,"CDH10"
822,556,1084,927,868,"INPP4A"
322,238,390,335,319,"RAB27B"
1646,1554,2492,2201,2231,"PSMA4"
62,48,100,127,88,"MYO16"
5085,4298,6567,6120,5459,"LSG1"
305,279,361,331,340,"PARP3"
5918,2132,10409,5408,3781,"TNC"
201,226,353,256,277,"THAP3"
106,57,94,101,114,"RIPOR3"
592,592,790,882,770,"TDP1"
578,549,776,769,637,"AIFM2"
0,0,0,0,1,"C2orf83"
130,105,163,141,120,"SPATA7"
178,169,233,248,229,"MED17"
1153,958,1548,1454,1511,"RETSAT"
3833,3429,5135,4873,5144,"CAPG"
989,1083,1369,1302,1539,"AP2S1"
1,0,0,0,1,"USH2A"
2,1,0,1,6,"ZPBP"
4,3,2,1,6,"TG"
15,7,9,19,20,"ADAM28"
1229,1477,1716,1764,1831,"BARX2"
1562,1456,2040,2006,1717,"DCUN1D1"
547,491,638,609,609,"JADE2"
5,5,3,2,8,"ZIC2"
5,10,11,8,9,"LCP2"
792,732,1050,1032,1020,"TRIT1"
19,137,30,21,16,"ADRB1"
0,0,0,0,0,"GUCA2B"
1072,840,1461,1241,1161,"CUL7"
7656,6755,10460,9384,8797,"CTNNA1"
595,497,820,723,754,"PHKA2"
191,182,252,317,282,"CNTLN"
4,0,0,2,2,"EPHA3"
21107,9667,28515,11680,14081,"HSPA5"
4906,3191,4947,4838,4139,"DSG2"
127,79,159,98,131,"GEMIN8"
740,629,995,937,889,"OFD1"
614,557,736,773,846,"GPM6B"
0,1,0,0,0,"MAGEC2"
3,1,0,3,0,"PREX2"
237,212,336,227,284,"WDR37"
805,649,912,925,850,"YTHDC2"
662,602,901,926,832,"CTPS2"
543,562,706,807,777,"ATP6V1H"
1475,1296,1877,1920,1714,"POLR2B"
477,395,599,601,576,"FAM214A"
153,122,237,197,175,"ARAP2"
4179,3513,5579,5379,4815,"TPR"
487,196,891,301,189,"CP"
609,635,816,806,747,"KIAA0556"
258,284,384,344,321,"DTNBP1"
288,232,351,345,305,"XK"
50,42,50,53,54,"ANO2"
1293,964,1611,1460,1360,"C12orf4"
30,35,36,26,31,"SCML1"
1552,1284,2154,1768,1612,"WWC3"
10,8,10,9,7,"ARHGAP6"
28,13,29,23,18,"FAM184B"
8602,7415,11302,10951,9443,"MAP4"
721,566,1007,898,831,"GOPC"
0,0,0,0,0,"ROS1"
1098,794,1408,1204,1083,"USP28"
434,282,530,487,312,"HDAC9"
2075,1852,3108,2775,2668,"TSPAN17"
1024,1046,1401,1416,1290,"NOP16"
241,184,278,232,268,"CC2D2A"
372,387,485,488,436,"RRM2B"
563,584,763,723,589,"ZNF800"
0,0,0,0,0,"TNFRSF17"
445,266,475,448,356,"SNX29"
7,9,14,13,22,"LMO3"
840,813,1079,1132,1106,"MRPS10"
0,0,0,0,0,"GUCA1A"
878,794,1114,1109,922,"RSF1"
778,634,942,837,769,"VPS13D"
1763,1605,2210,2246,1956,"CELF2"
8754,7388,11741,10665,9073,"FAM120A"
1494,1360,1933,2119,1860,"R3HDM1"
2924,1987,3994,3214,3376,"COL9A2"
151,97,223,131,147,"KITLG"
85,83,110,112,102,"ERCC8"
42,29,46,37,30,"ADAMTS6"
1408,1072,1747,1616,1489,"H6PD"
1979,1881,2543,2704,2510,"VAMP3"
246,138,340,263,241,"PER3"
0,0,0,0,0,"UTS2"
21,22,22,33,20,"TNFRSF9"
366,371,455,554,539,"EPN3"
2523,1512,3202,2977,2283,"LTBP1"
1967,1521,2467,2185,2201,"RCN1"
217,178,160,176,245,"ELN"
1376,1450,1821,1800,1817,"RFC2"
5615,3958,6822,6750,5631,"ARID1B"
2735,2422,3859,3214,3256,"CLPTM1L"
1522,1384,2257,1997,1762,"NEDD4L"
14,5,13,17,21,"FOXP3"
185,161,288,205,227,"PPP1R3F"
1325,951,1560,1447,1482,"HEXB"
253,174,276,255,269,"PTCD2"
105,99,150,95,99,"NEXMIF"
582,442,659,653,688,"JKAMP"
42,15,36,32,23,"DKK3"
587,501,898,729,640,"ARHGEF5"
1128,714,1553,1306,1203,"NFE2L3"
953,916,1215,1216,1225,"MCUR1"
415,316,539,528,498,"LIMA1"
983,997,1216,1273,1270,"LETMD1"
11,14,4,17,15,"SLC4A8"
301,229,343,327,339,"LAMC3"
9,7,1,12,6,"PTGER3"
13,10,37,18,8,"TNIP3"
1150,1061,1480,1406,1360,"MAPK9"
1,0,1,2,4,"COL23A1"
522,474,775,715,693,"BCAR1"
973,874,1318,1230,1204,"FAM160A2"
1370,1554,2128,1776,2143,"HERPUD1"
1064,843,1777,1426,1369,"HOMER3"
439,378,586,563,555,"RAD51"
557,403,715,563,552,"POLQ"
852,832,1317,1006,950,"PIK3CB"
2604,2315,3588,3059,3521,"CYBA"
298,275,425,399,455,"THOC3"
4308,3861,5774,5496,5468,"HEBP2"
292,231,367,320,293,"MPHOSPH9"
901,624,1051,1118,1008,"PLEKHA5"
1515,1210,1750,1836,1848,"PRSS8"
