"HBCx14_Cisplatin1","HBCx14_Cisplatin2","HBCx14_Cisplatin3","HBCx14_Cisplatin4","HBCx14_Cisplatin5","Symbol"
470,332,428,576,451,"SLC45A4"
2728,2556,2915,3534,3087,"RNF10"
548,450,606,679,596,"ZNF839"
671,522,755,781,644,"ZDHHC6"
125,112,103,134,170,"GRAMD1B"
1676,1587,1965,2205,1799,"RNH1"
2423,1839,2285,2658,2275,"NDUFS1"
797,563,750,1007,909,"RB1CC1"
2563,1885,2478,3399,2563,"ERP44"
1229,1139,1481,1602,1336,"ALAS1"
1948,1522,2683,1773,1795,"BIRC3"
603,435,619,762,606,"AKAP11"
398,354,440,516,378,"GLRX2"
117,116,157,183,116,"SNAPC1"
1175,1090,1475,1699,1313,"DERA"
4868,4278,5443,6296,5658,"STRAP"
1,7,5,7,9,"ABCC2"
536,521,528,615,519,"DEF6"
797,797,842,1010,960,"PLEKHO1"
705,536,722,917,892,"GCLM"
938,665,984,1089,939,"UBR2"
436,337,424,755,443,"EHD2"
1269,884,1191,1791,1691,"DEPDC1"
345,274,329,350,315,"CCDC28A"
488,435,477,660,397,"RRAGD"
584,439,586,722,584,"HSF2"
1237,863,1124,1596,1196,"PHF20"
97,99,116,156,109,"HSD17B6"
305,262,327,337,263,"NR1H3"
2815,1955,3307,2418,2035,"TYMP"
1206,1268,1474,1559,1319,"NCAPH2"
1711,1582,1771,2171,1981,"TOMM34"
2497,1937,2565,3043,2490,"SEC63"
2565,2177,2685,3306,2881,"KPNA6"
23658,21416,28428,38898,30858,"VIM"
154,190,216,166,147,"RTEL1-TNFRSF6B"
342,289,499,351,355,"FAS"
1216,1111,1350,1450,1114,"RNASET2"
8315,6757,7659,11454,9753,"CD44"
900,689,787,992,782,"KCNG1"
841,620,846,1055,832,"AGPAT4"
13,13,9,11,5,"SLAMF7"
1158,673,1217,1124,884,"BTN3A1"
229,210,325,288,251,"MIPEP"
362,326,387,536,389,"PRKCH"
2,1,2,6,2,"INSRR"
2645,2500,3916,2966,2483,"IFNGR1"
679,622,782,756,662,"B4GALT7"
200,146,184,257,198,"SH2D2A"
734,560,768,879,710,"VRK2"
101,66,100,98,98,"TNFRSF1B"
1097,877,1273,1559,1310,"VEZT"
426,460,646,453,519,"POU2F2"
1685,1374,1654,1940,1632,"BRD9"
1889,1588,2000,2348,1933,"SNX1"
645,477,689,793,685,"TBPL1"
728,583,860,1050,1012,"ARNTL2"
4069,2898,3850,4774,4219,"BCLAF1"
1383,1116,1412,2032,1367,"SLC39A9"
8,9,5,0,4,"ANK1"
0,0,0,0,0,"IBSP"
315,259,410,380,346,"TFB1M"
999,728,1029,1404,1209,"RABEP1"
3959,3618,4295,5250,5221,"HMGB3"
2572,1791,2389,3043,2659,"NUP160"
599,524,656,723,618,"BAK1"
0,0,0,0,2,"MUSK"
391,251,422,613,332,"IKZF2"
4947,4750,5888,6110,4300,"GRN"
708,472,739,831,714,"FAM13B"
409,309,434,453,413,"ARHGAP31"
185,137,219,257,183,"CENPQ"
2235,1798,2426,3154,2584,"SARS1"
1819,1744,2142,2353,1922,"RANBP3"
327,234,339,357,319,"ARID4A"
572,554,666,731,650,"EIPR1"
1876,1665,2028,2668,2010,"PNPLA6"
164,145,185,270,206,"IFT88"
556,488,631,658,522,"ALG1"
775,628,767,954,697,"ZCCHC8"
462,432,513,594,494,"ABCF2"
1428,1436,1690,1734,1223,"CHPF2"
1,1,0,1,0,"LRRC7"
211,164,222,319,209,"FUT8"
1382,929,1457,1773,1345,"UBA6"
539,520,581,786,571,"GAB2"
930,836,983,1250,992,"ATP6V0A1"
682,541,686,852,736,"PIAS1"
841,564,810,1130,797,"SLC4A7"
425,349,486,571,489,"APBA2"
1717,1832,2002,2222,2020,"MAP2K3"
0,0,0,0,0,"EFCAB1"
23026,24169,27422,32122,27927,"TMSB10"
113,86,135,137,94,"ASTE1"
1940,1733,2900,2508,2241,"RNF19A"
694,554,757,846,752,"PEX3"
673,649,717,870,689,"GABARAPL2"
0,0,0,0,0,"MYOC"
1888,1595,2131,2622,1763,"SH3YL1"
1368,1295,1500,1708,1452,"FAM136A"
6468,4739,6333,8738,7106,"VCL"
0,0,0,0,0,"DEPDC1B"
373,324,458,417,273,"DAPK2"
571,434,608,697,585,"NSMAF"
2327,1902,2363,3170,2500,"ADSS2"
1,1,8,3,6,"STAP1"
2036,2065,1901,2580,2269,"TIMP2"
1239,890,1213,1532,1193,"RFC1"
973,768,1114,1349,1003,"TBC1D23"
1662,1407,1643,1912,1947,"CUL3"
16,8,18,21,18,"MYOM2"
0,0,0,0,0,"OTC"
13,24,27,24,24,"CYP46A1"
1260,962,1307,1716,1327,"AC118549.1"
0,0,1,1,1,"SLC18A1"
385,363,288,463,428,"USP2"
0,0,0,0,0,"CASR"
286,259,274,305,260,"TUBG2"
436,437,439,608,464,"RPL26L1"
52,33,54,52,48,"FLT4"
4033,3226,3868,4872,4307,"NSUN2"
536,466,559,737,565,"FBXO42"
395,211,291,476,395,"MFAP3"
806,708,980,1029,761,"MRI1"
255,220,263,323,264,"METTL1"
241,184,133,307,243,"HOXC8"
197,143,217,194,176,"AGA"
543,409,628,590,469,"PI4K2B"
324,242,319,458,363,"BOD1L1"
614,417,669,760,565,"MAT2B"
0,1,2,3,1,"TLL1"
2345,2051,2561,2958,2324,"EDC4"
5645,4409,5723,7279,6601,"TRIO"
431,374,334,438,499,"VCAN"
934,657,906,1284,928,"CLEC16A"
4,1,2,2,4,"MSR1"
10177,7640,10009,13455,11654,"CDH1"
693,533,777,839,743,"MTREX"
217,162,263,353,264,"DNAH5"
591,369,562,743,613,"ZFYVE16"
2468,2398,2801,3363,2575,"RIPOR1"
0,1,0,1,0,"C6"
1059,706,1029,1383,982,"RAI14"
12,8,19,13,24,"SOX30"
955,1076,1190,1249,942,"PNKP"
3,3,1,1,4,"BEST2"
346,259,343,421,380,"PHLPP2"
564,402,573,757,672,"SPDL1"
318,219,330,454,317,"STAU2"
282,251,297,305,254,"SLC66A1"
308,292,294,337,288,"CTNS"
273,285,295,396,268,"RTN4R"
881,784,888,1215,971,"PHF23"
1,1,0,0,1,"CDH10"
855,540,705,1015,809,"INPP4A"
391,232,356,440,326,"RAB27B"
1799,1478,1954,2225,1947,"PSMA4"
103,84,101,93,78,"MYO16"
5073,4012,4956,6565,5202,"LSG1"
382,264,383,296,248,"PARP3"
5475,3141,4135,6924,7864,"TNC"
282,257,297,339,289,"THAP3"
78,52,92,98,59,"RIPOR3"
621,451,613,724,708,"TDP1"
587,549,723,767,703,"AIFM2"
0,1,0,0,0,"C2orf83"
103,72,113,159,124,"SPATA7"
188,154,206,220,182,"MED17"
1221,1203,1356,1591,1333,"RETSAT"
3969,3413,4433,5157,4117,"CAPG"
968,1075,1204,1281,1084,"AP2S1"
0,0,1,0,4,"USH2A"
1,2,1,1,4,"ZPBP"
1,8,4,7,4,"TG"
16,11,16,14,12,"ADAM28"
1086,1164,1387,1323,1104,"BARX2"
1508,1160,1614,2055,1590,"DCUN1D1"
591,468,659,683,540,"JADE2"
5,3,2,0,2,"ZIC2"
4,9,15,11,7,"LCP2"
768,674,833,1004,796,"TRIT1"
42,33,10,9,16,"ADRB1"
0,0,0,0,0,"GUCA2B"
1073,1018,1272,1479,1151,"CUL7"
7918,6227,8349,10828,8236,"CTNNA1"
642,514,662,869,630,"PHKA2"
284,186,280,365,262,"CNTLN"
8,5,3,18,38,"EPHA3"
21170,9505,12815,27215,19984,"HSPA5"
4730,3448,4449,6018,4701,"DSG2"
114,80,118,177,104,"GEMIN8"
745,572,772,919,772,"OFD1"
611,558,660,789,678,"GPM6B"
0,0,1,0,0,"MAGEC2"
0,0,1,0,0,"PREX2"
239,189,239,296,245,"WDR37"
659,487,713,942,795,"YTHDC2"
637,545,690,795,672,"CTPS2"
529,510,645,669,565,"ATP6V1H"
1419,1143,1552,1799,1512,"POLR2B"
456,348,477,623,436,"FAM214A"
216,118,171,214,186,"ARAP2"
4153,3094,4203,5436,3992,"TPR"
870,548,1010,994,288,"CP"
605,565,672,810,680,"KIAA0556"
299,284,297,359,280,"DTNBP1"
354,244,322,418,329,"XK"
44,43,54,60,25,"ANO2"
1122,815,1209,1585,1191,"C12orf4"
24,19,19,28,38,"SCML1"
1504,1046,1545,1985,1620,"WWC3"
9,4,5,6,17,"ARHGAP6"
29,36,29,25,40,"FAM184B"
8836,7167,9017,11579,9689,"MAP4"
773,563,752,1051,751,"GOPC"
1,0,1,0,4,"ROS1"
1160,708,1003,1298,1052,"USP28"
488,361,549,626,507,"HDAC9"
2279,2153,2434,2863,2181,"TSPAN17"
1001,879,1008,1288,1148,"NOP16"
243,164,244,314,206,"CC2D2A"
365,302,411,549,390,"RRM2B"
575,490,572,740,632,"ZNF800"
0,0,0,0,1,"TNFRSF17"
394,257,305,428,374,"SNX29"
9,4,6,7,5,"LMO3"
876,798,948,1043,947,"MRPS10"
0,0,0,0,0,"GUCA1A"
900,689,856,1098,905,"RSF1"
797,590,750,1004,795,"VPS13D"
1839,1412,1921,2190,2073,"CELF2"
8966,6779,8800,11396,10000,"FAM120A"
1413,1015,1494,2001,1674,"R3HDM1"
2532,2390,3241,3503,2564,"COL9A2"
158,115,140,184,178,"KITLG"
65,70,92,108,73,"ERCC8"
60,46,35,52,64,"ADAMTS6"
1396,1265,1700,1839,1311,"H6PD"
1919,1822,2414,2592,2091,"VAMP3"
224,145,199,369,264,"PER3"
0,0,0,0,0,"UTS2"
34,24,30,27,34,"TNFRSF9"
352,365,333,527,433,"EPN3"
2597,1780,2870,3910,2319,"LTBP1"
2044,1517,2004,2502,1854,"RCN1"
120,135,157,157,145,"ELN"
1289,1251,1461,1566,1449,"RFC2"
5546,3594,5301,7204,5625,"ARID1B"
2944,2593,2866,3490,2971,"CLPTM1L"
1420,1259,1765,2012,1598,"NEDD4L"
12,11,18,8,13,"FOXP3"
160,192,197,265,192,"PPP1R3F"
1361,1198,1435,1652,1249,"HEXB"
264,181,224,287,228,"PTCD2"
100,85,105,151,98,"NEXMIF"
556,530,639,821,550,"JKAMP"
25,25,16,32,37,"DKK3"
669,528,709,899,573,"ARHGEF5"
1312,905,1523,1530,1297,"NFE2L3"
954,826,1060,1170,979,"MCUR1"
457,326,448,673,458,"LIMA1"
1053,882,1086,1260,937,"LETMD1"
11,5,17,22,7,"SLC4A8"
262,227,283,318,274,"LAMC3"
7,2,2,6,7,"PTGER3"
10,11,36,13,28,"TNIP3"
1112,942,1120,1410,1147,"MAPK9"
3,2,5,3,5,"COL23A1"
520,519,605,616,529,"BCAR1"
978,864,1004,1210,937,"FAM160A2"
1620,1511,1851,1896,1530,"HERPUD1"
1081,937,1245,1387,1212,"HOMER3"
339,277,330,432,391,"RAD51"
417,224,331,502,452,"POLQ"
811,586,767,1184,927,"PIK3CB"
2703,2839,3208,3342,2689,"CYBA"
281,261,301,366,367,"THOC3"
5323,4546,6005,7976,5776,"HEBP2"
305,151,236,385,301,"MPHOSPH9"
927,641,1060,1347,887,"PLEKHA5"
1600,1517,1896,2099,1507,"PRSS8"
1277,789,1294,1694,1284,"SIKE1"
676,642,802,852,754,"RRP12"
