"HBCx14_chemonaive1","HBCx14_chemonaive2","HBCx14_chemonaive3","Symbol"
1577,1927,2509,"POLR3E"
6634,8090,7201,"ATP2B4"
6,9,8,"ZC3H11A"
556,543,695,"RIOK2"
969,988,1151,"YIPF1"
3062,3112,4174,"NDC1"
10,15,12,"DGKG"
766,689,938,"FLYWCH1"
876,771,1130,"UNKL"
30,46,47,"TBXAS1"
656,660,613,"PARP12"
2374,2569,2910,"ALDH18A1"
3794,3453,4181,"TARBP1"
343,339,482,"GATB"
1037,1016,1246,"MXD1"
495,577,595,"CDK17"
477,516,552,"DNAJC25"
56,29,38,"SLC2A3"
17,20,25,"PSD"
741,769,956,"CTDP1"
17850,20765,27112,"YBX3"
1131,1187,1188,"STYK1"
14704,17353,17824,"WNK1"
0,0,1,"RPS17P5"
3725,4351,5265,"CCAR1"
2630,2748,3773,"OGFR"
1552,1866,2062,"GNA15"
0,1,0,"CREB3L3"
351,363,432,"PIGV"
3738,3394,3237,"PTPRU"
2028,2054,2799,"SNRNP40"
10,4,8,"RIMBP2"
25,61,71,"COL11A1"
3357,3910,4346,"QSER1"
1625,1587,1857,"MPC1"
1459,1327,1693,"ACAA1"
928,1292,1610,"BCAT1"
3784,3586,4294,"HDAC7"
519,408,509,"LZTS1"
3,3,8,"PRDM6"
0,0,0,"WNT8A"
123,57,96,"SPAG4"
9268,10187,11803,"NCKAP1"
1500,1674,2150,"MRPS35"
128,193,198,"GUCY1B1"
1925,1794,2418,"SFSWAP"
14519,13701,18131,"TNK2"
1130,1350,1532,"MON2"
12965,15142,17395,"CDH3"
0,0,1,"ARSF"
1535,1667,2158,"GPBP1"
1748,1642,2179,"DGAT2"
174,217,244,"ZNF112"
6943,7216,9417,"CS"
278,485,386,"LTK"
13,22,29,"MRPS24"
718,860,1093,"ELMO2"
2667,3257,3664,"WAPL"
3439,2876,3384,"VMP1"
1514,1679,1858,"APPBP2"
1557,1558,2272,"POLD1"
2,1,0,"SEZ6"
10535,10881,14607,"EIF4B"
798,606,909,"SLC6A16"
1374,1283,1766,"BICRA"
567,511,678,"SPHK2"
9550,8911,11208,"RPL18"
168,260,244,"CA11"
716,767,1047,"ISOC2"
8149,8876,11926,"U2AF2"
3738,3591,4462,"EPN1"
1246,1313,1590,"MED29"
21,15,25,"AHRR"
0,0,0,"GSC2"
1756,1814,2013,"ZNF275"
4947,5051,5928,"MTMR1"
3213,3045,3702,"GPC1"
202,223,291,"ADCK1"
598,611,816,"HAGH"
1203,1355,1635,"RNF4"
769,686,764,"CASP8"
711,785,775,"LIMCH1"
1652,1791,2399,"INTS13"
3010,3489,4152,"TM7SF3"
137,124,254,"DLX3"
253,257,310,"SPA17"
0,0,0,"TSPAN32"
1,0,3,"CCN5"
0,0,0,"DMRT3"
1041,1097,1168,"ST3GAL6"
863,800,803,"ATP2C2"
1,0,2,"NGFR"
342,466,421,"CDON"
2439,2897,3410,"TAF2"
4030,4575,4897,"HIPK2"
4359,4592,5235,"TNPO3"
4,0,7,"BORCS8-MEF2B"
1750,1780,2266,"RFXANK"
1390,1579,2225,"TMEM161A"
2013,2097,2646,"LPAR2"
3334,3394,4247,"CTSA"
7104,7350,9480,"SUGP2"
1399,1765,1612,"SLC12A2"
325,324,410,"SNX24"
856,1010,1325,"EYA2"
4433,5632,6845,"CNN2"
1316,1098,1285,"ABCA7"
2,3,4,"SNCAIP"
1033,1161,1351,"DDX20"
3021,2940,3590,"BTBD1"
1269,1497,1714,"FAR2"
